dis,sNumber,totInc_a,emInc_a,numStand_a,perMet_a,90Avg_a,q,rank
CENTRAL,11,331,317,296,93.06,7.13,1,1
EASTERN,11,129,114,106,92.18,7.65,1,2
NORTH & WEST REGIONAL,6,113,106,96,90.82,7.5,1,3
SOUTH & EAST REGIONAL,6,92,88,78,89.92,7.67,1,4
SOUTHERN D1,9,186,172,151,88.51,7.84,1,5
NORTHERN,11,161,147,131,88.17,8.12,1,6
WESTERN D3,5,131,125,108,84.6,8.14,1,7
SOUTHERN D2,8,177,167,135,81.09,8.72,1,8
WESTERN D1,9,124,117,93,79.57,8.78,1,9
WESTERN D2,10,130,122,97,78.99,9.06,1,10
CENTRAL,11,293,265,246,91.77,7.28,2,1
EASTERN,11,122,98,89,89.69,7.65,2,2
SOUTH & EAST REGIONAL,6,93,88,76,87.35,7.95,2,3
SOUTHERN D1,9,176,145,125,86.99,8.03,2,4
NORTH & WEST REGIONAL,6,95,88,77,86.73,7.98,2,5
NORTHERN,11,145,122,106,86.59,8.19,2,6
SOUTHERN D2,8,153,128,109,84.96,8.44,2,7
WESTERN D3,5,118,103,88,82.64,8.18,2,8
WESTERN D1,9,115,98,78,79.82,8.68,2,9
WESTERN D2,10,128,105,82,78.11,8.88,2,10
NORTH & WEST REGIONAL,6,85,78,72,93.25,7.3,3,1
CENTRAL,11,271,247,232,92.96,6.99,3,2
NORTHERN,11,128,107,95,89.37,7.97,3,3
SOUTH & EAST REGIONAL,6,83,76,67,88.55,7.77,3,4
SOUTHERN D1,9,153,128,112,88.06,7.96,3,5
EASTERN,11,104,89,79,86.81,8.01,3,6
SOUTHERN D2,8,140,113,97,86.01,8.28,3,7
WESTERN D1,8,116,97,81,82.65,8.45,3,8
WESTERN D3,5,105,90,77,82.26,7.91,3,9
WESTERN D2,10,120,100,81,80.69,8.89,3,10
CENTRAL,11,316,284,260,90.7,7.39,4,1
EASTERN,11,134,104,94,89.46,7.7,4,2
SOUTHERN D1,9,192,156,134,86.89,8.02,4,3
NORTH & WEST REGIONAL,6,106,93,79,86.47,7.98,4,4
SOUTH & EAST REGIONAL,6,93,84,73,86.43,8.09,4,5
WESTERN D3,5,121,100,86,86.38,7.83,4,6
NORTHERN,11,165,132,113,86.18,8.19,4,7
SOUTHERN D2,8,171,138,117,85.21,8.63,4,8
WESTERN D2,10,145,117,93,79.46,9,4,9
WESTERN D1,8,152,125,97,77.96,9.05,4,10
