sNum,pumper,aerial,specSup
1,"P1A, P1B, UP1",LP1,"CU1, DC1A, DC1B, RHB1"
2,"P2A, P2B",x,x
3,P3,x,R3
4,P4,x,x
5,PT5,x,x
6,PT6,x,x
7,PT7,TB7,"R7, DC7"
9,"P9, PT9",x,
10,"P10A, P10B",TB10,"T10A, T10B"
,,,"BA, BD, FDS,"
,,,"GP, HART, HL, HRS,"
,,,"USAR-1, TRS"
11,PT11,x,x
12,P12,x,x
13,P13,x,x
14,"PT14, P14",x,x
15,P15,x,x
16,PT16,x,x
18,P18,x,x
19,PT19,x,x
20,P20,x,x
22,PT22,TB22,x
23,P23,x,WRM-5
24,P24,x,x
25,P25,"TB25, LP25","R25, DC25"
26,"P26, PT26",x,x
27,PT27,x,"R27, DC27"
28,P28,x,x
29,PT29,x,x
30,"P30, PT30",x,x
31,"P31, PT31",x,x
32,P32,x,x
33,PT33,x,x
34,"P34, PT34",x,x
35,"P35A, P35B",LP35,x
38,"P38A, P38B",x,"BA38, BS38A, BS38B, HZ38"
39,"P39A, P39B",x,FS39
,,,"FB1, FB2, FB4, FB6"
40,PT40,x,x
41,PT41,x,x
42,"P42, UP42",x,x
43,P43,x,x
44,PT44,TB44,"R44, DC44A, DC44B"
,,,"Pods: ERM, WRM-3"
45,P45,x,x
46,PT46,x,x
47,P47,LP47,T47
,,," FDS, HL, ML"
48,PT48,x,x
50,P50,x,x
51,"P51, PT51",x,x
52,PT52,x,x
53,P53,x,x
54,P54,x,x
55,P55,x,x
56,P56,x,R56
57,P57,x,x
58,P58,x,x
59,"PT59A, PT59B",x,x
61,P61,x,HZ61
62,"P62A, P62B",x,BA62
63,"P63A, P63B",LP63,"R63, TR63"
64,P64,x,x
66,P66,x,x
67,"P67A, P67B",LP67,"BA67, TR67"
68,P68,x,HZ68
70,P70,AP70,T70
,,,TR
71,P71,x,x
72,P72,AP72,TR72
73,"P73A, P73B",LP73,BA73
74,P74,x,T74
75,P75,AP75,HZ75
76,"P76, PT76",x,x
77,P77,LP77,x
78,P78,AP78,x
79,P79,x,x
80,P80,x,x
81,P81,x,x
82,P82,x,x
84,P84,x,x
85,P85,x,x
86,P86,x,x
87,"P87A, P87B",LP87,"R87, DC87"
88,P88,x,HZ88
89,P89,x,x
90,P90,x,x
91,"P91A, P91B",x,x
92,P92,x,x
93,P93,x,x
94,P94,x,x
95,P95,x,x
