District,Service_Area,Total_Incidents,Emergency_Incidents,Number_Standards_Met,Percent_Standards_Met,Avg_90_response,
CENTRAL,1,Eastern Hill,389,365,356,97.50%,5.62
CENTRAL,2,West Melbourne,356,326,310,95.10%,6.65
CENTRAL,3,Carlton,376,348,338,97.10%,6.52
CENTRAL,4,Brunswick,258,232,213,91.80%,7.57
CENTRAL,10,Richmond,311,280,258,92.10%,7.27
CENTRAL,13,Northcote,182,141,116,82.30%,8.58
CENTRAL,18,Hawthorn,236,191,165,86.40%,8.13
CENTRAL,35,Windsor,526,472,417,88.30%,7.95
CENTRAL,38,South Melbourne,426,391,363,92.80%,6.87
CENTRAL,39,Port Melbourne,159,141,125,88.70%,7.78
CENTRAL,50,Ascot Vale,255,229,196,85.60%,8.4
EASTERN,19,North Balwyn,147,122,100,82.00%,9.2
EASTERN,20,Box Hill,176,144,134,93.10%,7.43
EASTERN,22,Ringwood,184,136,124,91.20%,7.57
EASTERN,23,Burwood,166,127,121,95.30%,7.3
EASTERN,26,Croydon,134,102,95,93.10%,6.9
EASTERN,27,Nunawading,156,120,110,91.70%,7.3
EASTERN,28,Vermont South,188,145,133,91.70%,7.5
EASTERN,30,Templestowe,92,73,64,87.70%,7.73
EASTERN,82,Eltham City,95,67,59,88.10%,8.2
EASTERN,84,South Warrandyte,36,25,20,80.00%,8.42
EASTERN,85,Boronia,97,82,74,90.20%,7.18
NORTH & WEST REGIONAL,67,Ballarat City,100,88,85,96.60%,6.52
NORTH & WEST REGIONAL,68,Lucas,61,54,46,85.20%,8.15
NORTH & WEST REGIONAL,70,Warrnambool,104,90,74,82.20%,8.7
NORTH & WEST REGIONAL,71,Portland,31,27,23,85.20%,8.05
NORTH & WEST REGIONAL,72,Mildura,126,106,94,88.70%,7.9
NORTH & WEST REGIONAL,73,Bendigo,214,188,152,80.90%,8.57
NORTHERN,5,Broadmeadows,260,206,165,80.10%,8.57
NORTHERN,6,Pascoe Vale,164,129,102,79.10%,9.2
NORTHERN,7,Thomastown,160,115,100,87.00%,8.07
NORTHERN,9,Somerton,85,71,65,91.50%,7.65
NORTHERN,11,Epping,134,111,101,91.00%,8
NORTHERN,12,Preston,221,183,170,92.90%,7.67
NORTHERN,14,Bundoora,174,144,125,86.80%,7.82
NORTHERN,15,Heidelberg,270,224,196,87.50%,8.25
NORTHERN,16,Greensborough,111,82,73,89.00%,7.62
NORTHERN,80,Craigieburn,158,120,91,75.80%,9.4
NORTHERN,81,South Morang,68,63,55,87.30%,7.82
SOUTH & EAST REGIONAL,74,Wangaratta,65,59,52,88.10%,7.97
SOUTH & EAST REGIONAL,75,Shepparton,162,154,135,87.70%,8.22
SOUTH & EAST REGIONAL,76,Wodonga,115,99,80,80.80%,8.45
SOUTH & EAST REGIONAL,77,Traralgon,84,73,62,84.90%,8.4
SOUTH & EAST REGIONAL,78,Morwell,69,64,59,92.20%,7.32
SOUTH & EAST REGIONAL,79,Latrobe West,62,53,45,84.90%,8.17
SOUTHERN D1,24,Malvern,189,158,141,89.20%,8.13
SOUTHERN D1,25,Oakleigh,193,161,145,90.10%,7.75
SOUTHERN D1,29,Clayton,133,108,102,94.40%,7.43
SOUTHERN D1,31,Glen Waverley,281,244,207,84.80%,8.38
SOUTHERN D1,32,Ormond,250,206,169,82.00%,8.6
SOUTHERN D1,33,Mentone,166,126,111,88.10%,7.9
SOUTHERN D1,34,Highett,235,185,149,80.50%,8.37
SOUTHERN D1,86,Rowville,73,58,53,91.40%,7.02
SOUTHERN D1,89,Springvale,202,157,128,81.50%,8.62
SOUTHERN D2,87,Dandenong,297,242,200,82.60%,8.83
SOUTHERN D2,88,Hallam,190,145,120,82.80%,8.87
SOUTHERN D2,90,Patterson River,94,74,57,77.00%,9.68
SOUTHERN D2,91,Frankston,285,240,217,90.40%,8.22
SOUTHERN D2,92,Cranbourne,230,177,143,80.80%,9.08
SOUTHERN D2,93,Pakenham,102,85,70,82.40%,9.75
SOUTHERN D2,94,Mornington,90,74,67,90.50%,7.53
SOUTHERN D2,95,Rosebud,75,62,59,95.20%,7.08
WESTERN D1,40,Laverton,92,71,56,78.90%,8.87
WESTERN D1,42,Newport,127,111,97,87.40%,7.97
WESTERN D1,45,Spotswood,159,116,92,79.30%,8.8
WESTERN D1,46,Altona,46,34,28,82.40%,7.83
WESTERN D1,47,Footscray,260,222,196,88.30%,8.2
WESTERN D1,57,Tarneit,259,209,140,67.00%,10.97
WESTERN D1,58,Point Cook,147,127,96,75.60%,10.47
WESTERN D1,59,Derrimut,125,108,70,64.80%,9.33
WESTERN D2,41,St Albans,155,113,105,92.90%,7.85
WESTERN D2,43,Deer Park,141,115,91,79.10%,8.82
WESTERN D2,44,Sunshine,209,169,153,90.50%,7.75
WESTERN D2,48,Taylors Lakes,74,61,52,85.20%,8.47
WESTERN D2,51,Keilor,142,102,90,88.20%,7.95
WESTERN D2,52,Tullamarine,123,103,75,72.80%,9.48
WESTERN D2,53,Sunbury,92,77,59,76.60%,9.18
WESTERN D2,54,Greenvale,65,54,37,68.50%,10.97
WESTERN D2,55,Caroline Springs,195,158,103,65.20%,9.98
WESTERN D2,56,Melton,246,209,158,75.60%,9.5
WESTERN D3,61,Lara,64,57,38,66.70%,10.42
WESTERN D3,62,Corio,207,165,134,81.20%,8.13
WESTERN D3,63,Geelong City,187,158,148,93.70%,7.15
WESTERN D3,64,Belmont,114,93,84,90.30%,7.6
WESTERN D3,66,Ocean Grove,32,26,26,100.00%,5.85
